,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,time
1813,27.685,0.267,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-02-01
1814,29.061,0.224,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-03-01
1815,28.162,0.478,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-04-01
1816,27.547,0.509,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-05-01
1817,25.812,0.231,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-06-01
1818,24.87,0.41,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-07-01
1819,24.884,0.922,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-08-01
1820,25.405,0.956,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-09-01
1821,26.074,0.341,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-10-01
1822,27.315,0.232,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-11-01
1823,26.929,0.331,Abidjan,Côte D'Ivoire,5.63N,3.23W,2000-12-01
1824,26.92,1.032,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-01-01
1825,28.234,0.477,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-02-01
1826,28.706,0.426,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-03-01
1827,27.702,0.58,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-04-01
1828,27.653,0.228,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-05-01
1829,25.94,0.236,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-06-01
1830,24.841,0.425,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-07-01
1831,24.28,0.544,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-08-01
1832,24.797,0.348,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-09-01
1833,26.278,0.747,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-10-01
1834,27.374,0.465,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-11-01
1835,27.598000000000003,0.7559999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W,2001-12-01
1836,27.192,0.308,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-01-01
1837,28.796,0.361,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-02-01
1838,28.564,0.39,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-03-01
1839,28.508000000000003,0.6759999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-04-01
1840,27.721,0.124,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-05-01
1841,25.972,0.213,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-06-01
1842,25.054,0.183,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-07-01
1843,24.58,0.253,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-08-01
1844,25.26,0.261,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-09-01
1845,26.076,0.284,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-10-01
1846,27.282,0.362,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-11-01
1847,27.087,0.514,Abidjan,Côte D'Ivoire,5.63N,3.23W,2002-12-01
1848,27.59,0.477,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-01-01
1849,28.863000000000003,0.379,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-02-01
1850,28.98,0.383,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-03-01
1851,28.169,0.282,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-04-01
1852,27.91,0.247,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-05-01
1853,25.993,0.471,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-06-01
1854,25.221,0.234,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-07-01
1855,24.88,0.3229999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-08-01
1856,25.737,0.256,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-09-01
1857,26.69400000000001,0.378,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-10-01
1858,27.479,0.454,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-11-01
1859,27.092,0.531,Abidjan,Côte D'Ivoire,5.63N,3.23W,2003-12-01
1860,27.728,0.289,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-01-01
1861,28.705,0.428,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-02-01
1862,29.288,0.229,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-03-01
1863,28.152,0.197,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-04-01
1864,27.302,0.531,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-05-01
1865,25.712,0.442,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-06-01
1866,24.968000000000004,0.412,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-07-01
1867,24.656,0.184,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-08-01
1868,25.81,0.41,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-09-01
1869,26.438,0.304,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-10-01
1870,27.164,0.413,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-11-01
1871,27.909,0.422,Abidjan,Côte D'Ivoire,5.63N,3.23W,2004-12-01
1872,26.715,0.426,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-01-01
1873,29.405,0.36,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-02-01
1874,29.246,0.268,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-03-01
1875,28.508000000000003,0.17,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-04-01
1876,27.416,0.287,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-05-01
1877,25.772,0.295,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-06-01
1878,24.997,0.145,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-07-01
1879,24.443,0.219,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-08-01
1880,25.804,0.417,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-09-01
1881,26.47,0.422,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-10-01
1882,27.569000000000003,0.391,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-11-01
1883,27.374,0.31,Abidjan,Côte D'Ivoire,5.63N,3.23W,2005-12-01
1884,27.596,0.505,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-01-01
1885,28.352,0.424,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-02-01
1886,28.431,0.324,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-03-01
1887,28.708,0.453,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-04-01
1888,27.009,0.326,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-05-01
1889,26.588,0.534,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-06-01
1890,25.483,0.235,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-07-01
1891,25.114,0.334,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-08-01
1892,25.408,0.257,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-09-01
1893,26.396,0.545,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-10-01
1894,27.375,0.713,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-11-01
1895,27.397,0.387,Abidjan,Côte D'Ivoire,5.63N,3.23W,2006-12-01
1896,27.12,0.512,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-01-01
1897,28.986,0.5870000000000001,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-02-01
1898,29.106,0.44,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-03-01
1899,28.334,0.203,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-04-01
1900,27.702,0.153,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-05-01
1901,26.134,0.279,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-06-01
1902,25.417,0.154,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-07-01
1903,25.004,0.194,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-08-01
1904,25.606,0.347,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-09-01
1905,26.074,0.311,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-10-01
1906,27.232,0.408,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-11-01
1907,27.367,0.502,Abidjan,Côte D'Ivoire,5.63N,3.23W,2007-12-01
1908,26.061,0.762,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-01-01
1909,28.773000000000003,0.575,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-02-01
1910,28.819000000000003,0.6809999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-03-01
1911,28.156,0.144,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-04-01
1912,27.366,0.35,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-05-01
1913,26.276,0.344,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-06-01
1914,25.652,0.136,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-07-01
1915,25.219,0.348,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-08-01
1916,25.557,0.309,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-09-01
1917,26.681,0.6759999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-10-01
1918,27.302,0.265,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-11-01
1919,27.472,0.369,Abidjan,Côte D'Ivoire,5.63N,3.23W,2008-12-01
1920,26.91200000000001,0.353,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-01-01
1921,28.224,0.5329999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-02-01
1922,28.805,0.7190000000000001,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-03-01
1923,28.001,0.349,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-04-01
1924,27.766,0.183,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-05-01
1925,26.655,0.408,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-06-01
1926,25.437,0.279,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-07-01
1927,24.945,0.227,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-08-01
1928,25.568,0.215,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-09-01
1929,26.354,0.568,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-10-01
1930,27.497,0.413,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-11-01
1931,27.62,0.412,Abidjan,Côte D'Ivoire,5.63N,3.23W,2009-12-01
1932,28.270000000000003,0.161,Abidjan,Côte D'Ivoire,5.63N,3.23W,2010-01-01
3778,19.183,0.841,Addis Abeba,Ethiopia,8.84N,38.11E,2000-02-01
3779,20.23,0.501,Addis Abeba,Ethiopia,8.84N,38.11E,2000-03-01
3780,20.398,0.362,Addis Abeba,Ethiopia,8.84N,38.11E,2000-04-01
3781,19.977,0.838,Addis Abeba,Ethiopia,8.84N,38.11E,2000-05-01
3782,18.254,1.096,Addis Abeba,Ethiopia,8.84N,38.11E,2000-06-01
3783,17.109,0.463,Addis Abeba,Ethiopia,8.84N,38.11E,2000-07-01
3784,16.944000000000003,0.471,Addis Abeba,Ethiopia,8.84N,38.11E,2000-08-01
3785,17.542,0.243,Addis Abeba,Ethiopia,8.84N,38.11E,2000-09-01
3786,17.113,0.456,Addis Abeba,Ethiopia,8.84N,38.11E,2000-10-01
3787,17.741,1.812,Addis Abeba,Ethiopia,8.84N,38.11E,2000-11-01
3788,17.012999999999998,0.335,Addis Abeba,Ethiopia,8.84N,38.11E,2000-12-01
3789,17.454,0.84,Addis Abeba,Ethiopia,8.84N,38.11E,2001-01-01
3790,18.864,0.58,Addis Abeba,Ethiopia,8.84N,38.11E,2001-02-01
3791,20.043000000000006,0.481,Addis Abeba,Ethiopia,8.84N,38.11E,2001-03-01
3792,20.233,0.304,Addis Abeba,Ethiopia,8.84N,38.11E,2001-04-01
3793,19.908,0.457,Addis Abeba,Ethiopia,8.84N,38.11E,2001-05-01
3794,17.977999999999994,0.892,Addis Abeba,Ethiopia,8.84N,38.11E,2001-06-01
3795,17.011,0.269,Addis Abeba,Ethiopia,8.84N,38.11E,2001-07-01
3796,17.152,1.052,Addis Abeba,Ethiopia,8.84N,38.11E,2001-08-01
3797,17.867,0.423,Addis Abeba,Ethiopia,8.84N,38.11E,2001-09-01
3798,18.047,0.368,Addis Abeba,Ethiopia,8.84N,38.11E,2001-10-01
3799,17.305999999999997,0.722,Addis Abeba,Ethiopia,8.84N,38.11E,2001-11-01
3800,17.694000000000003,0.285,Addis Abeba,Ethiopia,8.84N,38.11E,2001-12-01
3801,17.901000000000003,0.8220000000000001,Addis Abeba,Ethiopia,8.84N,38.11E,2002-01-01
3802,19.471,0.243,Addis Abeba,Ethiopia,8.84N,38.11E,2002-02-01
3803,20.193,0.511,Addis Abeba,Ethiopia,8.84N,38.11E,2002-03-01
3804,20.097,0.846,Addis Abeba,Ethiopia,8.84N,38.11E,2002-04-01
3805,20.234,0.664,Addis Abeba,Ethiopia,8.84N,38.11E,2002-05-01
3806,18.084,0.378,Addis Abeba,Ethiopia,8.84N,38.11E,2002-06-01
3807,17.518,0.867,Addis Abeba,Ethiopia,8.84N,38.11E,2002-07-01
3808,17.171,0.583,Addis Abeba,Ethiopia,8.84N,38.11E,2002-08-01
3809,17.405,0.931,Addis Abeba,Ethiopia,8.84N,38.11E,2002-09-01
3810,17.323999999999998,0.8140000000000001,Addis Abeba,Ethiopia,8.84N,38.11E,2002-10-01
3811,17.964000000000002,0.507,Addis Abeba,Ethiopia,8.84N,38.11E,2002-11-01
3812,18.275,0.677,Addis Abeba,Ethiopia,8.84N,38.11E,2002-12-01
3813,18.201,1.461,Addis Abeba,Ethiopia,8.84N,38.11E,2003-01-01
3814,19.21,0.726,Addis Abeba,Ethiopia,8.84N,38.11E,2003-02-01
3815,20.453000000000007,0.38,Addis Abeba,Ethiopia,8.84N,38.11E,2003-03-01
3816,20.27,1.065,Addis Abeba,Ethiopia,8.84N,38.11E,2003-04-01
3817,20.409,0.48,Addis Abeba,Ethiopia,8.84N,38.11E,2003-05-01
3818,18.428,0.518,Addis Abeba,Ethiopia,8.84N,38.11E,2003-06-01
3819,16.861,0.271,Addis Abeba,Ethiopia,8.84N,38.11E,2003-07-01
3820,17.15,0.438,Addis Abeba,Ethiopia,8.84N,38.11E,2003-08-01
3821,17.298000000000002,0.84,Addis Abeba,Ethiopia,8.84N,38.11E,2003-09-01
3822,17.137,0.351,Addis Abeba,Ethiopia,8.84N,38.11E,2003-10-01
3823,17.430999999999997,0.775,Addis Abeba,Ethiopia,8.84N,38.11E,2003-11-01
3824,17.003,0.431,Addis Abeba,Ethiopia,8.84N,38.11E,2003-12-01
3825,18.983,0.677,Addis Abeba,Ethiopia,8.84N,38.11E,2004-01-01
3826,18.986,0.456,Addis Abeba,Ethiopia,8.84N,38.11E,2004-02-01
3827,19.813,0.471,Addis Abeba,Ethiopia,8.84N,38.11E,2004-03-01
3828,19.634,0.64,Addis Abeba,Ethiopia,8.84N,38.11E,2004-04-01
3829,20.015,0.6920000000000001,Addis Abeba,Ethiopia,8.84N,38.11E,2004-05-01
3830,18.148,0.726,Addis Abeba,Ethiopia,8.84N,38.11E,2004-06-01
3831,17.109,0.32,Addis Abeba,Ethiopia,8.84N,38.11E,2004-07-01
3832,17.317,0.479,Addis Abeba,Ethiopia,8.84N,38.11E,2004-08-01
3833,17.468,0.24,Addis Abeba,Ethiopia,8.84N,38.11E,2004-09-01
3834,16.956,0.507,Addis Abeba,Ethiopia,8.84N,38.11E,2004-10-01
3835,17.235,0.457,Addis Abeba,Ethiopia,8.84N,38.11E,2004-11-01
3836,17.849,0.439,Addis Abeba,Ethiopia,8.84N,38.11E,2004-12-01
3837,17.94,0.337,Addis Abeba,Ethiopia,8.84N,38.11E,2005-01-01
3838,19.785,0.469,Addis Abeba,Ethiopia,8.84N,38.11E,2005-02-01
3839,20.685,0.282,Addis Abeba,Ethiopia,8.84N,38.11E,2005-03-01
3840,20.464,0.426,Addis Abeba,Ethiopia,8.84N,38.11E,2005-04-01
3841,19.366,1.025,Addis Abeba,Ethiopia,8.84N,38.11E,2005-05-01
3842,17.923,0.425,Addis Abeba,Ethiopia,8.84N,38.11E,2005-06-01
3843,16.991,0.463,Addis Abeba,Ethiopia,8.84N,38.11E,2005-07-01
3844,17.563,0.765,Addis Abeba,Ethiopia,8.84N,38.11E,2005-08-01
